model,feature,importance,rank
RandomForest,return_120d_past,0.024076,1
RandomForest,return_1d_past,0.020168,2
RandomForest,gold_return,0.020109,3
RandomForest,return_30d_past,0.019743,4
RandomForest,OBV,0.019401,5
RandomForest,return_480d_past,0.01816,6
RandomForest,return_6d_past,0.015839,7
RandomForest,return_3d_past,0.014749,8
RandomForest,return_7d_past,0.014142,9
RandomForest,return_2d_past,0.013676,10
RandomForest,return_10d_past,0.013555,11
RandomForest,PVT,0.010509,12
XGBoost,return_30d_past,0.081308,1
XGBoost,return_1d_past,0.072499,2
XGBoost,return_120d_past,0.071904,3
XGBoost,return_480d_past,0.069885,4
XGBoost,return_7d_past,0.059557,5
XGBoost,return_10d_past,0.054735,6
XGBoost,gold_return,0.053716,7
XGBoost,return_3d_past,0.052946,8
XGBoost,return_6d_past,0.051717,9
XGBoost,ATR_14,0.048867,10
XGBoost,OBV,0.045083,11
XGBoost,return_4d_past,0.039134,12
LightGBM,return_30d_past,0.089242,1
LightGBM,return_1d_past,0.084084,2
LightGBM,return_480d_past,0.078395,3
LightGBM,return_120d_past,0.075013,4
LightGBM,return_3d_past,0.074189,5
LightGBM,ATR_14,0.0738,6
LightGBM,return_10d_past,0.072201,7
LightGBM,return_7d_past,0.067562,8
LightGBM,return_6d_past,0.062407,9
LightGBM,return_20d_past,0.05825,10
LightGBM,gold_return,0.057058,11
LightGBM,OBV,0.05464,12
